tid,label,time,space
195207,45,0,102.4 11.8
195207,45,6,101.7 12.5
195207,45,12,100.9 13.3
195207,45,18,100.1 14.2
195207,45,24,99.3 15
195207,45,30,98.8 15.4
195207,45,36,98.5 15.7
195207,45,42,98.1 16.3
195207,45,48,97.8 16.8
195207,45,54,97.7 17.3
195207,45,60,97.7 17.7
195207,45,66,97.7 18
195207,45,72,97.8 18.4
195207,45,78,97.9 18.9
195207,45,84,98 19.5
195207,45,90,98.2 20.1
195207,45,96,98.5 20.8
195207,45,102,99 21.8
195207,45,108,99.5 22.8
195207,45,114,99.9 23.5
195207,45,120,100.4 24.1
195207,45,126,101.2 24.6
195207,45,132,102.2 24.8
195207,45,138,103.2 24.7
195207,45,144,104.1 24.6
195207,45,150,104.9 24.4
195207,45,156,105.5 24.4
195207,45,162,106 25.3
195207,45,168,105.6 26.3
195207,45,174,106.5 27.3
195207,45,180,107.9 28.2
195207,45,186,110.4 29.6
195207,45,192,111 31.7
195304,45,0,159.5 16
195304,45,6,158.4 15.3
195304,45,12,157.2 14.6
195304,45,18,156 13.9
195304,45,24,154.7 13.2
195304,45,30,153.3 12.6
195304,45,36,151.9 12
195304,45,42,150.5 11.4
195304,45,48,149.3 10.9
195304,45,54,147.9 10.7
195304,45,60,146.1 10.6
195304,45,66,144.2 10.6
195304,45,72,142.3 10.6
195304,45,78,140.4 10.6
195304,45,84,138.6 10.8
195304,45,90,137 11.3
195304,45,96,135.7 11.9
195304,45,102,134.4 12.5
195304,45,108,133.1 13.1
195304,45,114,131.9 13.6
195304,45,120,130.5 14.2
195304,45,126,129 15
195304,45,132,126.3 16.1
195304,45,138,123.7 17.3
195304,45,144,122.5 18.1
195304,45,150,121.3 18.9
195304,45,156,120 19.9
195304,45,162,118.7 21
195304,45,168,117.5 22.3
195304,45,174,116.5 23.7
195304,45,180,115.7 25
195304,45,186,114.9 26.3
195304,45,192,113.9 27.8
195304,45,198,112.9 29.2
195304,45,204,112.4 29.9
195304,45,210,112 30.5
195304,45,216,111.2 31.6
195304,45,222,110.4 33
195304,45,228,109.4 35
195304,45,234,109.2 37.2
195304,45,240,109.7 38.6
195304,45,246,110.7 40.3
195304,45,252,112.7 43.3
195304,45,258,114.8 46.4
195304,45,264,117 49.1
195304,45,270,119.2 51.8
195304,45,276,121.6 54.5
195304,45,282,123.8 57
195304,45,288,125.9 59.5
195304,45,294,128 61.8
195608,45,0,104.5 17.8
195608,45,6,104.7 17.2
195608,45,12,104.9 17.5
195608,45,18,105.1 18.2
195608,45,24,105.3 19.2
195608,45,30,105.5 20.4
195608,45,36,105.6 21.7
195608,45,42,105.7 23.1
195608,45,48,106.5 24.5
195608,45,54,107.5 25.9
195608,45,60,107.8 27.6
195608,45,66,107.7 29
195608,45,72,106.3 29.4
195608,45,78,106.5 28.1
195608,45,84,107.1 27.3
195608,45,90,107.7 26.5
195608,45,96,107.9 25.8
195608,45,102,108.2 25.2
195608,45,108,108.6 24.6
195608,45,114,109.3 24
195608,45,120,110.4 23.3
195608,45,126,111.7 22.6
195608,45,132,113.1 21.9
195608,45,138,114.7 22.2
195608,45,144,116.8 23.7
195608,45,150,119 25.3
195608,45,156,120.9 26.8
195608,45,162,122.9 28.3
195608,45,168,125.5 29.5
195608,45,174,128.8 30.6
195608,45,180,132.4 31.9
195608,45,186,137.4 33.3
195608,45,192,142.3 34.5
196307,45,0,147 8
196307,45,6,145.2 8.1
196307,45,12,143.5 8.2
196307,45,18,141.7 8.3
196307,45,24,140 8.5
196307,45,30,138.4 8.7
196307,45,36,136.8 8.8
196307,45,42,135.3 9
196307,45,48,133.7 9.2
196307,45,54,132.1 9.5
196307,45,60,130.5 9.8
196307,45,66,128.9 9.9
196307,45,72,127.2 10
196307,45,78,125.6 10.1
196307,45,84,124 10.3
196307,45,90,122.4 10.4
196307,45,96,120.9 10.7
