space,time,day,poi,tid,label
38.7423688309 -90.365896225,685,Friday,19959,3049,142
38.78874595 -89.9520349333,727,Friday,74884,3049,142
41.8891025298 -87.6307575965,1106,Friday,459541,3049,142
41.8904417122 -87.6239383221,1198,Friday,65269,3049,142
41.89102077 -87.62351125,1199,Friday,548089,3049,142
41.8947664136 -87.623847127,1212,Friday,28788,3049,142
41.8920390506 -87.6244211197,1305,Friday,237097,3049,142
41.8891025298 -87.6307575965,893,Saturday,459541,3049,142
41.8882692679 -87.6354825497,900,Saturday,11359,3049,142
41.8889321908 -87.6340019703,920,Saturday,296531,3049,142
41.9479207274 -87.6558351517,1026,Saturday,12430,3049,142
41.9479207274 -87.6558351517,1212,Saturday,12430,3049,142
41.9476816667 -87.6566379333,1212,Saturday,521501,3049,142
41.9473701325 -87.6544833183,1213,Saturday,403438,3049,142
41.9469152897 -87.6542043686,1297,Saturday,201864,3049,142
41.94073435 -87.65420355,1398,Saturday,36993,3049,142
41.9301420878 -87.6434909933,118,Sunday,514364,3049,142
41.893162217 -87.618120583,946,Sunday,1274808,3049,142
41.7272476333 -88.0379258833,1332,Sunday,90620,3049,142
39.09154415 -94.5780801667,82,Wednesday,9646,3049,142
39.1095638631 -94.5719096141,1347,Wednesday,156774,3049,142
39.04183745 -94.5914053833,423,Thursday,9191,3049,142
38.9124658321 -94.6607351303,632,Thursday,111106,3049,142
38.9116310095 -94.6376895905,643,Thursday,31230,3049,142
39.084500669 -94.5841150612,1343,Thursday,94573,3049,142
39.2974431129 -94.716053009,746,Saturday,8977,3050,142
29.9877985723 -95.3393554688,858,Saturday,23523,3050,142
29.987062627 -95.340320585,888,Saturday,1213587,3050,142
26.0711624187 -80.1420879364,1094,Saturday,12840,3050,142
26.0338567 -80.1756619333,91,Sunday,186955,3050,142
26.052272052 -80.2126407623,1070,Sunday,99406,3050,142
26.052474465 -80.2107095718,29,Monday,267610,3050,142
26.0531202563 -80.2101409435,111,Monday,267640,3050,142
26.0711624187 -80.1420879364,1195,Monday,12840,3050,142
35.2201261779 -80.9439504147,1436,Monday,18643,3050,142
39.2974431129 -94.716053009,172,Tuesday,8977,3050,142
41.4115138761 -81.839196682,110,Thursday,28529,3050,142
41.4115138761 -81.839196682,1209,Friday,28529,3051,142
41.4099057158 -81.8376739958,1268,Friday,410236,3051,142
39.0914997635 -94.5563542843,74,Saturday,9212,3051,142
39.09154415 -94.5780801667,1226,Sunday,9646,3051,142
39.0754547333 -94.5758796333,959,Monday,36694,3051,142
38.9798364667 -94.6327464667,1065,Monday,17203,3051,142
39.04183745 -94.5914053833,1084,Monday,9191,3051,142
39.0506711667 -94.5980687833,1194,Monday,17526,3051,142
39.0937690318 -94.5831439181,207,Wednesday,96637,3051,142
39.08243725 -94.5818266135,1147,Wednesday,186273,3051,142
39.1088792333 -94.5703326167,1019,Thursday,130837,3051,142
38.8505371091 -77.0410251617,19,Friday,15684,3053,142
39.03269835 -77.5159924,1422,Friday,75587,3053,142
38.899073 -77.07292455,927,Saturday,387306,3053,142
38.8955754607 -77.0719349384,976,Saturday,55430,3053,142
39.01094685 -76.9114095833,1039,Saturday,576884,3053,142
39.0223765 -76.9254046333,1110,Saturday,307947,3053,142
38.9847659181 -76.5070939064,1299,Saturday,38702,3053,142
38.9778001 -76.48673815,69,Sunday,202231,3053,142
38.8764890333 -77.07328445,733,Monday,484798,3053,142
38.88361702 -77.0650577545,857,Monday,24044,3053,142
38.8763591357 -77.0726430416,859,Monday,190072,3053,142
38.88148955 -77.0712880333,859,Monday,284527,3053,142
38.8808895167 -77.0712543,931,Monday,24048,3053,142
38.8810780976 -77.0711946487,931,Monday,920726,3053,142
38.8505371091 -77.0410251617,970,Tuesday,15684,3053,142
39.2974431129 -94.716053009,1203,Tuesday,8977,3053,142
39.09154415 -94.5780801667,152,Wednesday,9646,3053,142
39.0877270667 -94.5885983833,120,Thursday,34871,3053,142
39.0754547333 -94.5758796333,1030,Friday,36694,3055,142
38.9791107178 -94.6303634644,1426,Friday,20561,3055,142
38.9573147556 -94.6456074715,12,Saturday,202177,3055,142
39.0513851526 -94.4804906845,1079,Sunday,12373,3055,142
39.0979413667 -94.5831009333,131,Monday,138974,3055,142
39.2974431129 -94.716053009,739,Wednesday,8977,3055,142
41.9780286285 -87.9036712646,946,Wednesday,22831,3055,142
41.9780286285 -87.9036712646,1297,Wednesday,22831,3055,142
41.9784337833 -87.91084275,1297,Wednesday,572789,3055,142
39.2974431129 -94.716053009,1426,Wednesday,8977,3055,142
39.09154415 -94.5780801667,113,Thursday,9646,3055,142
39.09853935 -94.5820283833,288,Thursday,9777,3055,142
38.9542652333 -94.6696790333,1212,Saturday,184224,3056,142
39.0895805012 -94.5816029093,799,Sunday,23782,3056,142
39.0571153 -94.60515975,857,Sunday,9268,3056,142
39.05214785 -94.6045374833,865,Sunday,9858,3056,142
38.9718048901 -94.6074020863,1102,Sunday,13978,3056,142
39.0884965667 -94.5889389167,252,Monday,21611,3056,142
39.3155527 -94.6928667333,714,Monday,417371,3056,142
39.2974431129 -94.716053009,734,Monday,8977,3056,142
41.4115138761 -81.839196682,857,Monday,28529,3056,142
41.508500971 -81.6952103376,1132,Monday,24492,3056,142
41.4115138761 -81.839196682,1018,Tuesday,28529,3056,142
41.4099057158 -81.8376739958,1018,Tuesday,410236,3056,142
41.9780286285 -87.9036712646,1155,Tuesday,22831,3056,142
41.8782881022 -87.6258025336,812,Wednesday,554802,3056,142
41.8941881033 -87.6338125753,80,Thursday,64639,3056,142
41.8821947925 -87.6258625407,897,Thursday,314347,3056,142
41.9780286285 -87.9036712646,980,Thursday,22831,3056,142
41.978076879 -87.906621877,980,Thursday,1240644,3056,142
41.4115138761 -81.839196682,1097,Thursday,28529,3056,142
42.9731706167 -83.7379660667,1267,Thursday,41451,3056,142
39.0506113667 -94.5969479333,147,Friday,17676,3058,142
39.0520574333 -94.5913481333,195,Friday,391579,3058,142
39.0754033 -94.6033091,51,Saturday,83091,3058,142
41.9780286285 -87.9036712646,822,Saturday,22831,3058,142
41.9812756333 -87.90638435,823,Saturday,811032,3058,142
41.8781185833 -87.6419416833,983,Saturday,43875,3058,142
41.8903030167 -87.6114757833,1016,Saturday,879082,3058,142
41.9479207274 -87.6558351517,1306,Saturday,12430,3058,142
41.8992555754 -87.6235799706,312,Sunday,176563,3058,142
41.8994365333 -87.6240701667,312,Sunday,41630,3058,142
41.9780286285 -87.9036712646,797,Sunday,22831,3058,142
41.9784337833 -87.91084275,798,Sunday,572789,3058,142
39.04183745 -94.5914053833,1003,Sunday,9191,3058,142
39.2974431129 -94.716053009,637,Wednesday,8977,3058,142
41.9780286285 -87.9036712646,731,Wednesday,22831,3058,142
41.9780286285 -87.9036712646,1331,Wednesday,22831,3058,142
41.978076879 -87.906621877,1331,Wednesday,1240644,3058,142
41.9780286285 -87.9036712646,1101,Friday,22831,3064,142
41.9784337833 -87.91084275,1101,Friday,572789,3064,142
39.2974431129 -94.716053009,1303,Friday,8977,3064,142
39.1116411333 -94.5892139,1336,Friday,677365,3064,142
39.1095638631 -94.5719096141,32,Saturday,156774,3064,142
39.10797415 -94.5805412833,203,Saturday,21056,3064,142
39.2974431129 -94.716053009,677,Tuesday,8977,3064,142
39.8495018818 -104.673871994,795,Tuesday,23256,3064,142
33.4357390069 -112.0011520386,969,Tuesday,23524,3064,142
33.4264267 -111.9386893667,994,Tuesday,46947,3064,142
33.4349906333 -111.92555665,304,Thursday,13713,3064,142
33.4357390069 -112.0011520386,1439,Thursday,23524,3064,142
39.2974431129 -94.716053009,233,Friday,8977,3065,142
39.0416979667 -94.59059,1007,Friday,10019,3065,142
39.2974431129 -94.716053009,1329,Sunday,8977,3065,142
41.9780286285 -87.9036712646,1426,Sunday,22831,3065,142
39.1798446122 -76.6709661484,126,Monday,24767,3065,142
39.1798446122 -76.6709661484,637,Tuesday,24767,3065,142
41.9780286285 -87.9036712646,773,Tuesday,22831,3065,142
41.8912359833 -87.6342903333,1098,Tuesday,794973,3065,142
41.9776697151 -87.9041969776,1284,Tuesday,342212,3065,142
41.9784337833 -87.91084275,1319,Tuesday,572789,3065,142
39.2974431129 -94.716053009,1433,Tuesday,8977,3065,142
39.2974431129 -94.716053009,716,Thursday,8977,3065,142
41.9780286285 -87.9036712646,820,Thursday,22831,3065,142
41.0684160761 -73.7056446075,1084,Thursday,13600,3065,142
30.2948856333 -97.8718113833,86,Thursday,83313,3073,143
30.2963208 -97.8320287,899,Thursday,25175,3073,143
30.3355302167 -97.8046946333,1102,Thursday,59170,3073,143
30.2911559667 -97.8589226,1351,Thursday,19004,3073,143
30.270083 -97.750427,23,Friday,9510,3073,143
30.2670273144 -97.7445030212,222,Friday,17831,3073,143
30.2663323362 -97.7448141575,259,Friday,9251,3073,143
30.2699606 -97.7498949,306,Friday,99231,3073,143
30.2948856333 -97.8718113833,372,Friday,83313,3073,143
30.261599404 -97.7585805953,1096,Friday,15372,3073,143
30.2911559667 -97.8589226,1191,Friday,19004,3073,143
30.2672543395 -97.739444375,61,Saturday,9249,3073,143
30.2963208 -97.8320287,968,Saturday,25175,3073,143
30.2902613167 -97.8232754333,1005,Saturday,122101,3073,143
30.2921751 -97.8270514,1179,Saturday,125086,3073,143
30.29171255 -97.8601781333,1415,Saturday,28562,3073,143
30.2902613167 -97.8232754333,1051,Sunday,122101,3073,143
30.2253199189 -97.8218686581,1204,Sunday,40487,3073,143
30.3951619063 -97.7494704723,1082,Monday,40524,3073,143
30.3948935334 -97.7492237091,1118,Monday,35677,3073,143
30.2911559667 -97.8589226,19,Tuesday,19004,3073,143
30.3948935334 -97.7492237091,864,Tuesday,35677,3073,143
30.4250362 -97.7157430833,1168,Tuesday,51780,3073,143
30.2679095833 -97.7493124167,1263,Tuesday,21714,3073,143
30.2677222876 -97.7412736416,1317,Tuesday,14492,3073,143
30.2668674465 -97.7418448098,1348,Tuesday,51786,3073,143
30.2963208 -97.8320287,921,Wednesday,25175,3073,143
30.2911559667 -97.8589226,1194,Wednesday,19004,3073,143
30.2668906357 -97.7456858754,1328,Wednesday,9223,3073,143
30.3079146406 -97.7505500615,888,Friday,11365,3075,143
30.2731067667 -97.8005367333,1236,Friday,78014,3075,143
30.2313745667 -97.79745475,1316,Saturday,15590,3075,143
30.2948856333 -97.8718113833,217,Sunday,83313,3075,143
30.2902613167 -97.8232754333,1312,Sunday,122101,3075,143
30.2963208 -97.8320287,891,Monday,25175,3075,143
30.4355563777 -97.7629265909,967,Monday,64250,3075,143
30.2795831833 -97.7594679667,1299,Monday,15678,3075,143
30.4355563777 -97.7629265909,963,Tuesday,64250,3075,143
30.3687022 -97.7429279,1079,Tuesday,115636,3075,143
30.4028148515 -97.7258133888,1237,Tuesday,109826,3075,143
30.2948856333 -97.8718113833,69,Wednesday,83313,3075,143
30.3368675667 -97.7579569667,888,Wednesday,9407,3075,143
30.3079146406 -97.7505500615,913,Wednesday,11365,3075,143
30.2668674465 -97.7418448098,1014,Wednesday,51786,3075,143
30.2313745667 -97.79745475,1063,Wednesday,15590,3075,143
30.2948856333 -97.8718113833,89,Saturday,83313,3078,143
30.2380564543 -97.7973532677,1073,Saturday,154479,3078,143
30.24775385 -97.7507042833,1119,Saturday,15621,3078,143
30.2473575319 -97.7507579327,1140,Saturday,10858,3078,143
30.2473528978 -97.7501785755,1192,Saturday,13682,3078,143
30.274236401 -97.8117618371,1230,Saturday,314097,3078,143
30.2643400382 -97.7413809299,0,Sunday,709919,3078,143
30.253516057 -97.7634072304,99,Sunday,48858,3078,143
30.2963208 -97.8320287,1168,Sunday,25175,3078,143
30.2893718167 -97.8711387,864,Monday,209894,3078,143
30.2903332667 -97.8271628333,1179,Monday,91857,3078,143
30.2963208 -97.8320287,1376,Monday,25175,3078,143
30.2963208 -97.8320287,1019,Tuesday,25175,3078,143
30.3091745 -97.93954045,1118,Tuesday,16145,3078,143
30.2911559667 -97.8589226,1314,Tuesday,19004,3078,143
30.2893718167 -97.8711387,1196,Wednesday,209894,3078,143
30.2963208 -97.8320287,853,Thursday,25175,3078,143
30.29171255 -97.8601781333,1111,Thursday,28562,3078,143
30.2890861994 -97.827691563,1322,Thursday,340896,3078,143
30.3911084712 -97.7471423149,946,Friday,12019,3080,143
30.3366555333 -97.8042787333,1001,Friday,25311,3080,143
30.3382688791 -97.8071916103,1038,Friday,386752,3080,143
30.2963208 -97.8320287,1285,Friday,25175,3080,143
30.2696357552 -97.7433872223,67,Saturday,22431,3080,143
30.3079146406 -97.7505500615,932,Saturday,11365,3080,143
