tid,label,time,space
195207,45,0,102.4 11.8
195207,45,6,101.7 12.5
195207,45,12,100.9 13.3
195207,45,18,100.1 14.2
195207,45,24,99.3 15
195207,45,30,98.8 15.4
195207,45,36,98.5 15.7
195207,45,42,98.1 16.3
195207,45,48,97.8 16.8
195207,45,54,97.7 17.3
195207,45,60,97.7 17.7
195207,45,66,97.7 18
195207,45,72,97.8 18.4
195207,45,78,97.9 18.9
195207,45,84,98 19.5
195207,45,90,98.2 20.1
195207,45,96,98.5 20.8
195207,45,102,99 21.8
195207,45,108,99.5 22.8
195207,45,114,99.9 23.5
195207,45,120,100.4 24.1
195207,45,126,101.2 24.6
195207,45,132,102.2 24.8
195207,45,138,103.2 24.7
195207,45,144,104.1 24.6
195207,45,150,104.9 24.4
195207,45,156,105.5 24.4
195207,45,162,106 25.3
195207,45,168,105.6 26.3
195207,45,174,106.5 27.3
195207,45,180,107.9 28.2
195207,45,186,110.4 29.6
195207,45,192,111 31.7
195608,45,0,104.5 17.8
195608,45,6,104.7 17.2
195608,45,12,104.9 17.5
195608,45,18,105.1 18.2
195608,45,24,105.3 19.2
195608,45,30,105.5 20.4
195608,45,36,105.6 21.7
195608,45,42,105.7 23.1
195608,45,48,106.5 24.5
195608,45,54,107.5 25.9
195608,45,60,107.8 27.6
195608,45,66,107.7 29
195608,45,72,106.3 29.4
195608,45,78,106.5 28.1
195608,45,84,107.1 27.3
195608,45,90,107.7 26.5
195608,45,96,107.9 25.8
195608,45,102,108.2 25.2
195608,45,108,108.6 24.6
195608,45,114,109.3 24
195608,45,120,110.4 23.3
195608,45,126,111.7 22.6
195608,45,132,113.1 21.9
195608,45,138,114.7 22.2
195608,45,144,116.8 23.7
195608,45,150,119 25.3
195608,45,156,120.9 26.8
195608,45,162,122.9 28.3
195608,45,168,125.5 29.5
195608,45,174,128.8 30.6
195608,45,180,132.4 31.9
195608,45,186,137.4 33.3
195608,45,192,142.3 34.5
195809,45,0,129.2 17.3
195809,45,6,127.9 17.7
195809,45,12,125.7 18.1
195809,45,18,124.3 18.3
195809,45,24,123.6 18.4
195809,45,30,122.9 18.5
195809,45,36,122.1 18.7
195809,45,42,121.2 19
195809,45,48,120.2 19.4
195809,45,54,119.3 20
195809,45,60,118.9 20.7
195809,45,66,118.8 21.4
195809,45,72,118.7 21.9
195809,45,78,118.7 22.3
195809,45,84,118.8 23.2
195809,45,90,118.9 24.5
195809,45,96,118.5 26.2
195809,45,102,118.1 28
195809,45,108,118.4 29.5
195809,45,114,119.2 31
195809,45,120,120.5 32.8
195809,45,126,122.4 34.8
195809,45,132,125.1 37.1
195809,45,138,128.7 39.9
195809,45,144,132.2 43.1
196105,45,0,147.9 11.7
196105,45,6,146.1 12.4
196105,45,12,144.7 13.5
196105,45,18,143.3 14.4
196105,45,24,141.9 15.2
196105,45,30,140.6 16
196105,45,36,139.2 16.8
196105,45,42,138 17.6
196105,45,48,136.9 18.4
196105,45,54,135.8 19.1
196105,45,60,134.7 19.6
196105,45,66,133.6 19.8
196105,45,72,132.6 20
196105,45,78,131.6 20.1
196105,45,84,130.6 20.2
196105,45,90,129.5 20.3
196105,45,96,128.7 20.5
196105,45,102,127.9 20.7
196105,45,108,126.6 21.1
196105,45,114,125.3 21.6
196105,45,120,123.9 21.8
196105,45,126,122.6 22
196105,45,132,121.3 22.3
196105,45,138,120 22.7
196105,45,144,118.7 23.3
196105,45,150,117.4 23.8
196105,45,156,116.1 24.1
196105,45,162,114.8 24.4
196105,45,168,113.8 24.8
196105,45,174,113.1 25.4
196105,45,180,112.2 26.1
196105,45,186,111.4 27
196105,45,192,110.6 28
196105,45,198,109.9 29
196105,45,204,109 30
196105,45,210,108.1 31
196105,45,216,107.4 32
196105,45,222,106.9 33
196105,45,228,106.6 34
196105,45,234,106.7 35
196105,45,240,107 36.3
196105,45,246,107.5 37.8
