Year,Month,Day,Hour,Id,Name,lat,lon,WindSpeed,Pressure,LatLon,tid,class,time
1944,7,13,6,1,NOT_NAMED,19.6,-68.6,30,0,19.6 -68.6,2000,L1,6
1944,7,13,12,1,NOT_NAMED,20.7,-69.5,30,0,20.7 -69.5,2000,L1,12
1944,7,13,18,1,NOT_NAMED,21.5,-70.4,30,0,21.5 -70.4,2000,L1,18
1944,7,14,0,1,NOT_NAMED,22.3,-71.2,35,0,22.3 -71.2,2000,L1,24
1944,7,14,6,1,NOT_NAMED,23.1,-72,35,0,23.1 -72,2000,L1,30
1944,7,14,12,1,NOT_NAMED,24,-72.8,35,0,24 -72.8,2000,L1,36
1944,7,14,18,1,NOT_NAMED,25.1,-73.5,40,0,25.1 -73.5,2000,L1,42
1944,7,15,0,1,NOT_NAMED,26.2,-74.1,45,0,26.2 -74.1,2000,L1,48
1944,7,15,6,1,NOT_NAMED,27.4,-74.6,50,0,27.4 -74.6,2000,L1,54
1944,7,15,12,1,NOT_NAMED,28.5,-75,55,0,28.5 -75,2000,L1,60
1944,7,15,18,1,NOT_NAMED,29.4,-75.3,55,0,29.4 -75.3,2000,L1,66
1944,7,16,0,1,NOT_NAMED,30.2,-75.5,60,0,30.2 -75.5,2000,L1,72
1944,7,16,6,1,NOT_NAMED,30.9,-75.6,65,0,30.9 -75.6,2000,L1,78
1944,7,16,12,1,NOT_NAMED,31.4,-75.5,65,0,31.4 -75.5,2000,L1,84
1944,7,16,18,1,NOT_NAMED,31.8,-75.2,65,0,31.8 -75.2,2000,L1,90
1944,7,17,0,1,NOT_NAMED,32.2,-74.8,70,0,32.2 -74.8,2000,L1,96
1944,7,17,6,1,NOT_NAMED,32.5,-74.3,70,0,32.5 -74.3,2000,L1,102
1944,7,17,12,1,NOT_NAMED,32.8,-73.5,70,0,32.8 -73.5,2000,L1,108
1944,7,17,18,1,NOT_NAMED,33.1,-72.6,70,0,33.1 -72.6,2000,L1,114
1944,7,18,0,1,NOT_NAMED,33.3,-71.6,65,0,33.3 -71.6,2000,L1,120
1944,7,18,6,1,NOT_NAMED,33.6,-70.6,65,0,33.6 -70.6,2000,L1,126
1944,7,18,12,1,NOT_NAMED,34,-69.5,65,0,34 -69.5,2000,L1,132
1944,7,18,18,1,NOT_NAMED,35,-68,60,0,35 -68,2000,L1,138
1944,7,19,0,1,NOT_NAMED,36.5,-65.5,60,0,36.5 -65.5,2000,L1,144
1944,7,19,6,1,NOT_NAMED,38.2,-62.2,60,0,38.2 -62.2,2000,L1,150
1944,7,19,12,1,NOT_NAMED,40.2,-58.2,60,0,40.2 -58.2,2000,L1,156
1944,7,19,18,1,NOT_NAMED,42.2,-54,50,0,42.2 -54,2000,L1,162
1944,7,20,0,1,NOT_NAMED,44.2,-49.8,45,0,44.2 -49.8,2000,L1,168
1944,7,24,6,2,NOT_NAMED,13.4,-56.6,35,0,13.4 -56.6,2001,TS,6
1944,7,24,12,2,NOT_NAMED,13.7,-58.4,40,0,13.7 -58.4,2001,TS,12
1944,7,24,18,2,NOT_NAMED,14,-60.4,45,0,14 -60.4,2001,TS,18
1944,7,25,0,2,NOT_NAMED,14.3,-62.2,50,0,14.3 -62.2,2001,TS,24
1944,7,25,6,2,NOT_NAMED,14.7,-63.9,55,0,14.7 -63.9,2001,TS,30
1944,7,25,12,2,NOT_NAMED,15.1,-65.6,55,0,15.1 -65.6,2001,TS,36
1944,7,25,18,2,NOT_NAMED,15.6,-67.3,55,0,15.6 -67.3,2001,TS,42
1944,7,26,0,2,NOT_NAMED,16.1,-69,55,0,16.1 -69,2001,TS,48
1944,7,26,6,2,NOT_NAMED,16.4,-70.7,55,0,16.4 -70.7,2001,TS,54
1944,7,26,12,2,NOT_NAMED,16.6,-72.5,55,0,16.6 -72.5,2001,TS,60
1944,7,26,18,2,NOT_NAMED,16.6,-74.4,50,0,16.6 -74.4,2001,TS,66
1944,7,27,0,2,NOT_NAMED,16.6,-76.4,45,0,16.6 -76.4,2001,TS,72
1944,7,27,6,2,NOT_NAMED,16.8,-78.3,35,0,16.8 -78.3,2001,TS,78
1944,7,27,12,2,NOT_NAMED,17,-80,30,0,17 -80,2001,TS,84
1944,7,27,18,2,NOT_NAMED,17.2,-81.6,25,0,17.2 -81.6,2001,TS,90
1944,7,30,12,3,NOT_NAMED,21.5,-69,35,0,21.5 -69,2002,L1,6
1944,7,30,18,3,NOT_NAMED,22.5,-70.5,40,0,22.5 -70.5,2002,L1,12
1944,7,31,0,3,NOT_NAMED,23.4,-72.2,45,0,23.4 -72.2,2002,L1,18
1944,7,31,6,3,NOT_NAMED,24.3,-73.8,50,0,24.3 -73.8,2002,L1,24
1944,7,31,12,3,NOT_NAMED,26.2,-75.2,55,0,26.2 -75.2,2002,L1,30
1944,7,31,18,3,NOT_NAMED,27.2,-76.1,60,0,27.2 -76.1,2002,L1,36
1944,8,1,0,3,NOT_NAMED,28.2,-76.7,65,0,28.2 -76.7,2002,L1,42
1944,8,1,6,3,NOT_NAMED,29.3,-77.2,65,0,29.3 -77.2,2002,L1,48
1944,8,1,12,3,NOT_NAMED,30.5,-77.7,70,0,30.5 -77.7,2002,L1,54
1944,8,1,18,3,NOT_NAMED,32,-78,70,0,32 -78,2002,L1,60
1944,8,1,23,3,NOT_NAMED,33.9,-78.1,70,985,33.9 -78.1,2002,L1,66
