time,lat,lon,tid,label
6,21.5,-69,2002,L1
12,22.5,-70.5,2002,L1
18,23.4,-72.2,2002,L1
24,24.3,-73.8,2002,L1
30,26.2,-75.2,2002,L1
36,27.2,-76.1,2002,L1
42,28.2,-76.7,2002,L1
48,29.3,-77.2,2002,L1
54,30.5,-77.7,2002,L1
60,32,-78,2002,L1
66,33.9,-78.1,2002,L1
72,34.1,-78.2,2002,L1
78,35.7,-78.2,2002,L1
84,36.9,-78,2002,L1
90,37.8,-77.4,2002,L1
96,38.5,-76.2,2002,L1
102,39.2,-74.5,2002,L1
108,39.8,-72.8,2002,L1
114,40.3,-71,2002,L1
120,40.8,-69.4,2002,L1
126,41.3,-67.9,2002,L1
6,35.5,-40.4,2011,L1
12,35.5,-40.2,2011,L1
18,35.5,-40,2011,L1
24,35.5,-39.8,2011,L1
30,35.6,-39.6,2011,L1
36,35.7,-39.3,2011,L1
42,36,-39,2011,L1
48,36.6,-38.6,2011,L1
54,37.5,-38.1,2011,L1
60,38.3,-37.4,2011,L1
66,39,-36.5,2011,L1
72,39.7,-35.3,2011,L1
78,40.4,-33.5,2011,L1
84,41,-29.5,2011,L1
90,41.5,-25.5,2011,L1
96,41.2,-23,2011,L1
102,40.5,-21,2011,L1
108,39.7,-19.5,2011,L1
114,39,-18,2011,L1
120,38.5,-16,2011,L1
6,15.5,-81,2023,L1
12,15.6,-81.5,2023,L1
18,15.8,-82,2023,L1
24,16.1,-82.5,2023,L1
30,16.4,-83.1,2023,L1
36,16.6,-83.8,2023,L1
42,16.8,-84.9,2023,L1
48,16.6,-86.1,2023,L1
54,16.4,-87.4,2023,L1
60,16.2,-88.7,2023,L1
66,16,-90,2023,L1
72,15.8,-91.3,2023,L1
78,15.7,-92.6,2023,L1
84,15.5,-94,2023,L1
90,15.5,-95.7,2023,L1
96,15.8,-97.7,2023,L1
102,16.3,-99.7,2023,L1
108,17,-101.5,2023,L1
114,18,-102.7,2023,L1
120,19.3,-103.5,2023,L1
126,21,-104.1,2023,L1
132,23,-104.5,2023,L1
6,29,-79,2026,L1
12,31.8,-79.6,2026,L1
18,32.7,-79.3,2026,L1
24,33.4,-78.9,2026,L1
30,34,-78.4,2026,L1
36,34.6,-77.7,2026,L1
42,35.4,-76.7,2026,L1
48,36.1,-75.4,2026,L1
54,36.3,-73.8,2026,L1
60,36.5,-72.3,2026,L1
66,36.7,-70.8,2026,L1
72,37,-69.3,2026,L1
78,37.5,-67.7,2026,L1
84,38,-66,2026,L1
90,38.5,-64.5,2026,L1
96,39,-63,2026,L1
102,39.6,-61.6,2026,L1
108,40.4,-60.1,2026,L1
114,41.4,-58.2,2026,L1
120,42.7,-56,2026,L1
126,44.2,-53.8,2026,L1
132,44.8,-51.5,2026,L1
138,46,-49.7,2026,L1
6,15.4,-82,2038,L1
12,16,-82.2,2038,L1
18,16.5,-82.5,2038,L1
